单词,频率,是否在词库
plastic,7,NO
plastics,7,NO
experts,6,NO
director,6,YES
reported,6,NO
expectations,6,NO
followed,6,NO
categories,6,NO
interest,6,NO
finally,6,YES
husbands,6,NO
communication,6,YES
talking,6,NO
regularly,6,NO
essential,6,YES
scientists,6,NO
further,6,NO
character,6,YES
supreme,6,YES
discrimination,6,NO
practice,6,YES
included,6,NO
perform,6,YES
tradition,6,NO
occasionally,6,NO
positions,6,NO
happens,6,NO
program,6,YES
offered,6,NO
specific,6,YES
systems,6,NO
identities,6,NO
suggest,6,YES
divided,6,NO
failing,6,NO
cooperation,6,NO
sources,6,NO
revolution,6,NO
largely,6,YES
related,6,YES
natural,6,YES
question,6,YES
towards,6,NO
necessary,6,NO
willing,6,YES
setting,6,NO
teachers,6,NO
evidence,6,YES
practical,6,YES
growing,6,NO
benefits,6,NO
classes,6,NO
struggle,6,YES
graduates,6,NO
purpose,6,YES
solution,6,YES
payments,6,NO
therefore,6,YES
rapidly,6,NO
passage,6,YES
imagine,6,YES
optimistic,6,YES
particular,6,YES
governance,6,NO
chicken,6,NO
overweight,6,NO
strategies,6,NO
photograph,6,NO
replace,6,YES
affordable,6,NO
protect,6,YES
investment,6,NO
flatiron,6,NO
expected,6,NO
prairie,6,NO
western,6,YES
habitat,6,YES
environmental,6,NO
changes,6,NO
starting,6,NO
millennials,6,NO
koziatek,6,NO
sympathy,6,YES
australia,5,NO
majority,5,YES
experiencing,5,NO
medical,5,NO
reality,5,YES
phenomenon,5,YES
reliable,5,YES
beautiful,5,YES
forever,5,YES
stopped,5,NO
executive,5,YES
divorce,5,YES
confidence,5,YES
chances,5,NO
newspaper,5,YES
importance,5,YES
reasons,5,NO
automatic,5,YES
response,5,YES
finding,5,YES
introduce,5,NO
consumer,5,YES
improving,5,NO
experiments,5,NO
unhealthy,5,NO
changed,5,NO
citizens,5,NO
provided,5,YES
include,5,YES
supposed,5,NO
difference,5,YES
suggested,5,NO
consumed,5,NO
consideration,5,YES
comfortable,5,NO
regulations,5,NO
possibility,5,YES
remains,5,NO
military,5,YES
announced,5,NO
painful,5,YES
identity,5,YES
infrastructure,5,NO
discover,5,YES
disappointed,5,NO
eventually,5,NO
simmons,5,NO
leaving,5,NO
executives,5,NO
attractive,5,YES
whatever,5,YES
soldiers,5,NO
building,5,NO
families,5,NO
clothes,5,YES
inevitable,5,YES
devices,5,NO
friendly,5,YES
stronger,5,NO
fitness,5,NO
animals,5,NO
achieve,5,YES
courses,5,NO
eliminate,5,YES
explain,5,NO
temporarily,5,NO
unemployment,5,NO
explore,5,YES
experienced,5,NO
employees,5,NO
historical,5,YES
passing,5,NO
interested,5,NO
valuable,5,YES
himself,5,NO
attract,5,YES
payment,5,YES
automation,5,YES
effects,5,NO
aspects,5,NO
psychologists,5,NO
minutes,5,NO
constant,5,YES
experiences,5,NO
anxious,5,YES
happier,5,NO
ourselves,5,YES
picture,5,YES
closest,5,NO
respond,5,YES
typical,5,YES
relatively,5,NO
lecture,5,YES
lessons,5,NO
screens,5,NO
message,5,NO
colleagues,5,NO
colleges,5,NO
knowledge,5,NO
involuntary,5,NO
challenging,5,NO
creative,5,YES
species,5,YES
landowners,5,NO
agencies,5,NO
shortage,5,YES
parkrun,5,NO
tronick,5,NO
wildfires,5,NO
factory,5,YES
workforce,5,NO
insects,5,NO
vehicles,5,NO
epidemic,4,YES
authorities,4,NO
weather,4,YES
officials,4,NO
virtually,4,NO
disease,4,NO
progress,4,YES
absence,4,YES
enormous,4,YES
examples,4,NO
patterns,4,NO
released,4,NO
placing,4,NO
contemporary,4,YES
japanese,4,NO
deliver,4,YES
auctions,4,NO
statements,4,NO
shifted,4,NO
invited,4,NO
scientist,4,YES
reports,4,NO
millions,4,NO
represents,4,NO
sharing,4,NO
context,4,YES
immediately,4,NO
detailed,4,NO
behaviors,4,NO
dollars,4,NO
automatically,4,NO
chewing,4,NO
multiple,4,YES
production,4,YES
putting,4,NO
succeed,4,YES
psychologist,4,NO
developed,4,NO
behavior,4,NO
democratic,4,YES
principles,4,NO
representative,4,YES
entitled,4,NO
procedures,4,NO
selecting,4,NO
required,4,NO
imposed,4,NO
consider,4,YES
certainly,4,NO
emissions,4,NO
perception,4,NO
departure,4,YES
routine,4,YES
projects,4,NO
reducing,4,NO
express,4,YES
privacy,4,NO
thriving,4,NO
patience,4,YES
disagree,4,YES
falling,4,NO
surprise,4,YES
increases,4,NO
performance,4,YES
incentives,4,NO
records,4,NO
commission,4,YES
struggling,4,NO
architecture,4,YES
elegance,4,NO
employed,4,NO
materials,4,NO
desirable,4,NO
strange,4,YES
currency,4,YES
dominant,4,YES
germany,4,NO
involve,4,YES
figures,4,NO
proposed,4,NO
demands,4,NO
restrict,4,YES
mcdonald,4,NO
stephenson,4,NO
campaign,4,YES
behaviour,4,NO
contribute,4,YES
strengthen,4,YES
roughly,4,NO
powerful,4,YES
computers,4,NO
shelter,4,YES
fighting,4,NO
appears,4,NO
brought,4,NO
unified,4,NO
district,4,NO
matters,4,NO
imagination,4,YES
interests,4,NO
assumed,4,NO
tendency,4,YES
genetic,4,YES
unlikely,4,YES
interactions,4,NO
supportive,4,NO
jobless,4,NO
financially,4,NO
respects,4,NO
weakness,4,YES
degrees,4,NO
socially,4,NO
challenge,4,YES
lifestyle,4,NO
carlyle,4,NO
patient,4,YES
convinced,4,NO
existing,4,NO
circumstances,4,NO
artists,4,NO
reverse,4,YES
sensitive,4,YES
article,4,NO
previous,4,YES
technological,4,NO
employee,4,NO
illegal,4,YES
participants,4,NO
recognition,4,NO
mistake,4,YES
dangerous,4,YES
completely,4,NO
shopping,4,YES
professional,4,YES
sufficient,4,YES
purchase,4,YES
quality,4,YES
underestimate,4,YES
traditional,4,NO
brynjolfsson,4,NO
conducted,4,NO
exercise,4,YES
practices,4,NO
communities,4,NO
flexibility,4,NO
involves,4,NO
relieve,4,YES
gallery,4,NO
perfect,4,NO
harvard,4,NO
measured,4,NO
household,4,YES
paragraphs,4,NO
thoughts,4,NO
differently,4,NO
cortina,4,NO
wildlife,4,NO
decided,4,NO
promise,4,YES
distractions,4,NO
generations,4,NO
schneider,4,NO
wellbeing,4,NO
thousands,4,NO
necessarily,4,YES
olympic,4,NO
produce,4,YES
opposition,4,YES
renewable,4,NO
whatsapp,4,NO
newport,4,NO
features,4,NO
agricultural,4,NO
laborers,4,NO
homebuying,4,NO
signals,4,NO
asocial,4,NO
trapped,4,NO
coworkers,4,NO
organization,3,YES
elsewhere,3,NO
overwhelming,3,YES
vaccine,3,NO
appointed,3,NO
moderate,3,YES
presence,3,YES
excessive,3,YES
innovative,3,NO
introduced,3,NO
momentum,3,NO
biggest,3,NO
interviewed,3,NO
highest,3,NO
collection,3,YES
various,3,YES
artwork,3,NO
virginia,3,NO
throughout,3,YES
evening,3,NO
frequently,3,NO
offering,3,NO
complain,3,NO
situations,3,NO
pattern,3,YES
observed,3,NO
complaints,3,NO
careers,3,NO
housework,3,NO
judging,3,NO
fundamental,3,YES
colgate,3,NO
moisturizers,3,NO
morning,3,YES
observation,3,NO
emerged,3,NO
scientific,3,YES
indifferent,3,YES
crucial,3,YES
minimal,3,NO
equally,3,NO
selected,3,NO
personally,3,NO
congress,3,NO
requirements,3,NO
characteristics,3,NO
statement,3,NO
airlines,3,NO
applied,3,YES
passenger,3,YES
passengers,3,NO
display,3,YES
satisfy,3,YES
traffic,3,NO
international,3,NO
organisation,3,NO
advanced,3,YES
programme,3,NO
clearly,3,NO
everyday,3,YES
selling,3,NO
ceiling,3,NO
cultural,3,NO
anonymity,3,NO
freedom,3,YES
schmidt,3,NO
trusted,3,NO
registered,3,NO
establish,3,YES
described,3,NO
individuals,3,NO
initiative,3,YES
identify,3,YES
interference,3,YES
equivalent,3,YES
tolerance,3,YES
indifference,3,NO
vulnerable,3,YES
allowed,3,NO
apparently,3,NO
criticism,3,NO
compensation,3,YES
earnings,3,YES
smaller,3,NO
gaining,3,NO
profits,3,NO
generous,3,YES
happened,3,NO
discussions,3,NO
pushing,3,NO
journalists,3,NO
suburbs,3,NO
balanced,3,NO
revenues,3,NO
surprisingly,3,NO
everybody,3,YES
bureaus,3,NO
indicates,3,NO
neglected,3,NO
affected,3,NO
depression,3,YES
positively,3,NO
properly,3,NO
believed,3,NO
architects,3,NO
presentation,3,NO
mechanical,3,NO
reliant,3,NO
ignored,3,NO
greatest,3,NO
markets,3,NO
economies,3,NO
harmonisation,3,NO
threats,3,NO
councils,3,NO
internal,3,YES
ambitious,3,YES
handling,3,NO
implies,3,NO
doctors,3,NO
ministers,3,NO
lansley,3,NO
producers,3,NO
drinking,3,NO
restrictions,3,NO
association,3,YES
hospitals,3,NO
exactly,3,NO
centres,3,NO
providers,3,NO
prepared,3,NO
burdens,3,NO
trained,3,NO
enemies,3,NO
facilities,3,NO
contrary,3,YES
unfortunately,3,NO
exception,3,YES
unclear,3,NO
expensive,3,NO
standards,3,NO
schooling,3,NO
meanwhile,3,YES
preferences,3,NO
connection,3,YES
associate,3,YES
colours,3,NO
version,3,YES
childhood,3,NO
clothing,3,YES
shoppers,3,NO
accepted,3,NO
previously,3,NO
influenced,3,NO
interpreted,3,NO
isolated,3,NO
patented,3,NO
appeals,3,NO
justice,3,YES
determine,3,YES
predict,3,YES
explains,3,NO
determined,3,YES
warning,3,YES
patenting,3,NO
drawing,3,YES
objective,3,YES
reshape,3,NO
extremely,3,NO
uncertain,3,NO
consequences,3,NO
friedman,3,NO
lengthy,3,NO
immigrant,3,YES
sentiment,3,YES
inequality,3,NO
destructive,3,YES
literary,3,YES
petrarch,3,NO
fortune,3,YES
engineers,3,NO
accomplish,3,YES
biographies,3,NO
imitate,3,NO
appreciate,3,YES
relations,3,NO
directly,3,NO
alongside,3,NO
prospect,3,YES
educated,3,NO
factories,3,NO
cashless,3,NO
dishonest,3,NO
contains,3,NO
productive,3,YES
similar,3,NO
original,3,YES
davidson,3,NO
appeared,3,NO
globalization,3,NO
accelerate,3,YES
construction,3,NO
sociable,3,YES
reaction,3,YES
stimuli,3,NO
interpersonal,3,NO
screeners,3,NO
reactions,3,NO
urgency,3,NO
impulsive,3,NO
legislation,3,NO
capable,3,YES
achieving,3,NO
sandberg,3,NO
massive,3,NO
overwhelmed,3,NO
intended,3,NO
subtitles,3,NO
responded,3,NO
supermarket,3,YES
encourage,3,YES
lopoints,3,NO
somewhat,3,YES
severely,3,NO
percentage,3,YES
prospects,3,NO
conservative,3,YES
straightforward,3,YES
settled,3,NO
lasting,3,NO
feelings,3,NO
academics,3,NO
behavioral,3,NO
satisfaction,3,YES
material,3,NO
purchases,3,NO
winners,3,NO
watching,3,NO
enjoyable,3,NO
sympathetic,3,YES
enhancing,3,NO
driving,3,NO
obviously,3,NO
attractiveness,3,NO
conscious,3,YES
depressed,3,NO
knowing,3,NO
photographs,3,NO
lifestyles,3,NO
intellectual,3,YES
downturns,3,NO
attracted,3,NO
necessity,3,YES
preparing,3,NO
funding,3,NO
corresponding,3,YES
reaching,3,NO
exhibition,3,NO
embrace,3,YES
romantic,3,YES
conceptual,3,NO
created,3,NO
optimism,3,NO
perspective,3,YES
stranger,3,YES
strangers,3,NO
commuters,3,NO
pleasant,3,YES
replaced,3,NO
mysterious,3,YES
logical,3,NO
surveys,3,NO
stressed,3,NO
playing,3,NO
mothers,3,NO
recruiting,3,NO
involving,3,NO
acknowledge,3,YES
khurana,3,NO
motivated,3,NO
debates,3,NO
managers,3,NO
language,3,YES
forward,3,NO
subheading,3,NO
subheadings,3,NO
intensity,3,YES
researcher,3,YES
methods,3,NO
exposure,3,YES
instance,3,NO
conservation,3,YES
approaches,3,NO
restore,3,YES
operations,3,NO
exhausted,3,NO
inclined,3,NO
fulfilling,3,NO
bottles,3,NO
scheduling,3,NO
primary,3,YES
married,3,YES
retiring,3,NO
tougher,3,NO
steadily,3,NO
monthly,3,YES
anymore,3,NO
priority,3,YES
shouldn,3,NO
emotionally,3,NO
unemployed,3,NO
expressions,3,NO
ideology,3,NO
overlook,3,YES
switching,3,NO
academically,3,NO
helping,3,NO
anything,3,YES
dunwell,3,NO
electrical,3,YES
shortages,3,NO
electric,3,YES
mislead,3,NO
outcome,3,YES
bachelor,3,NO
cautious,3,YES
renewables,3,NO
turbines,3,NO
grocery,3,YES
messages,3,NO
addressed,3,NO
harford,3,NO
idleness,3,NO
immediate,3,NO
contact,3,YES
stability,3,YES
drought,3,NO
farmers,3,NO
actions,3,NO
desombre,3,NO
polluting,3,NO
hampson,3,NO
parenting,3,NO
addition,3,YES
candidates,3,NO
election,3,YES
outbreak,2,YES
declared,2,NO
patients,2,NO
recovery,2,YES
hospitalizations,2,NO
arrived,2,NO
september,2,NO
activity,2,YES
october,2,NO
difficulties,2,NO
infants,2,NO
criticized,2,NO
commented,2,NO
amounts,2,NO
unusual,2,YES
extreme,2,YES
relieved,2,NO
delivering,2,NO
prevalent,2,YES
principal,2,YES
initial,2,YES
sotheby,2,NO
victory,2,YES
auctioneer,2,NO
reckons,2,NO
unfashionable,2,NO
collectors,2,NO
galleries,2,NO
november,2,NO
auction,2,NO
christie,2,NO
downturn,2,NO
impressionists,2,NO
confident,2,YES
keeping,2,NO
waiting,2,NO
referred,2,NO
actively,2,NO
promoting,2,NO
talkative,2,YES
agreement,2,YES
explained,2,NO
wreaking,2,NO
divorces,2,NO
virtual,2,YES
husband,2,NO
cleaning,2,NO
arrangements,2,NO
conversational,2,NO
partners,2,NO
expectation,2,YES
stereotypical,2,NO
cartoon,2,NO
breakfast,2,YES
wanting,2,NO
motivation,2,NO
couples,2,NO
summarize,2,YES
inequalities,2,NO
perfected,2,NO
hygiene,2,NO
medicine,2,NO
procter,2,NO
unilever,2,NO
invested,2,NO
hundreds,2,NO
bottled,2,NO
advertised,2,NO
brushing,2,NO
berning,2,NO
tactics,2,YES
questionable,2,NO
washing,2,NO
basically,2,NO
necessities,2,NO
creation,2,NO
qualifications,2,NO
defendants,2,NO
represent,2,YES
democracy,2,YES
representatives,2,NO
conflicted,2,NO
persons,2,NO
intelligence,2,YES
justified,2,NO
abolished,2,NO
extended,2,NO
requirement,2,YES
unconstitutional,2,NO
ordered,2,NO
judgment,2,NO
domestic,2,YES
engagement,2,YES
centers,2,NO
solutions,2,NO
stanford,2,NO
flowing,2,NO
reduced,2,NO
propelling,2,NO
lissaman,2,NO
southern,2,YES
departing,2,NO
angeles,2,NO
francisco,2,NO
assemble,2,YES
reduction,2,YES
dioxide,2,NO
quarter,2,NO
separated,2,NO
investigate,2,NO
defence,2,NO
resistance,2,YES
sustainability,2,NO
oriented,2,NO
confusing,2,NO
translated,2,NO
exchange,2,YES
welcome,2,YES
blessing,2,NO
bringing,2,NO
navigate,2,NO
contrasts,2,NO
license,2,YES
microsoft,2,NO
ecosystem,2,NO
drivers,2,NO
proposal,2,NO
directed,2,NO
realize,2,NO
competing,2,NO
skepticism,2,NO
enthusiasm,2,NO
manageable,2,NO
goldman,2,NO
managed,2,NO
position,2,YES
advisers,2,NO
reputations,2,NO
independence,2,NO
database,2,NO
covered,2,NO
concentrated,2,NO
correlation,2,NO
subsequent,2,YES
independent,2,NO
wrongdoings,2,NO
accustomed,2,YES
scornful,2,NO
launched,2,NO
charitable,2,NO
inhabit,2,YES
troubled,2,NO
returned,2,NO
slimmer,2,NO
delivery,2,YES
distant,2,NO
healthier,2,NO
advertisers,2,NO
proportion,2,YES
newsrooms,2,NO
completeness,2,NO
subsidies,2,NO
feature,2,YES
prosperity,2,YES
returning,2,NO
restraint,2,NO
postwar,2,NO
stylish,2,NO
bauhaus,2,NO
abundance,2,YES
granted,2,NO
apartments,2,NO
elegant,2,YES
buildings,2,NO
proportions,2,NO
architectural,2,NO
abstract,2,YES
entirely,2,NO
acquired,2,NO
faithfulness,2,NO
converge,2,NO
devaluation,2,NO
disintegration,2,NO
stricter,2,NO
borrowing,2,YES
regions,2,NO
ordination,2,NO
politicians,2,NO
monetary,2,NO
eurobonds,2,NO
trading,2,NO
capital,2,NO
attempt,2,YES
intends,2,NO
guaranteed,2,NO
readily,2,YES
corresponds,2,NO
warnings,2,NO
dangers,2,NO
secretary,2,YES
promised,2,NO
outlets,2,NO
opening,2,YES
sponsorship,2,NO
addiction,2,NO
terence,2,NO
consumption,2,YES
imagined,2,NO
smoking,2,NO
respect,2,YES
alarmed,2,NO
suggesting,2,NO
candies,2,NO
change4life,2,NO
centrepiece,2,NO
criticised,2,NO
lunches,2,NO
england,2,NO
lecturing,2,NO
banning,2,NO
placement,2,NO
football,2,NO
spokesperson,2,NO
depending,2,NO
attempts,2,NO
producing,2,NO
quantities,2,NO
improvements,2,NO
monitoring,2,NO
congratulate,2,NO
liberated,2,NO
volunteer,2,YES
soldier,2,YES
equipped,2,NO
centuries,2,NO
articles,2,NO
personalities,2,NO
removed,2,NO
claiming,2,NO
neither,2,NO
emphasized,2,NO
illusions,2,NO
districts,2,NO
student,2,YES
impoverished,2,NO
completing,2,NO
equipment,2,NO
complicated,2,NO
performed,2,NO
conversely,2,NO
meaningful,2,YES
correct,2,NO
conducts,2,NO
responsible,2,NO
implied,2,NO
nowadays,2,NO
authority,2,YES
discourage,2,YES
unanswered,2,NO
rainbow,2,YES
girlhood,2,NO
innocent,2,YES
innocence,2,NO
attraction,2,YES
encoded,2,NO
neutral,2,YES
strength,2,YES
differences,2,NO
strategy,2,YES
inherently,2,NO
toddler,2,NO
historian,2,YES
evolved,2,NO
developmental,2,NO
preferred,2,NO
genders,2,NO
advised,2,NO
concluded,2,NO
understood,2,NO
biotech,2,NO
forecast,2,YES
arguments,2,NO
suppress,2,YES
innovation,2,YES
studying,2,NO
interact,2,YES
correlations,2,NO
lawyers,2,NO
patentable,2,NO
discovering,2,NO
pictures,2,NO
speaking,2,NO
beginning,2,YES
politics,2,YES
linings,2,NO
materialistic,2,NO
struggles,2,NO
benjamin,2,NO
inclusive,2,NO
freedoms,2,NO
conflict,2,YES
wachter,2,NO
beneath,2,NO
precisely,2,NO
entering,2,NO
heavier,2,NO
decreased,2,NO
universal,2,YES
victorian,2,NO
suddenly,2,NO
favorite,2,YES
broader,2,NO
classical,2,YES
greatness,2,NO
niccolo,2,NO
machiavelli,2,NO
leaders,2,NO
industrialists,2,NO
explorers,2,NO
richard,2,NO
epochal,2,NO
battles,2,NO
christopher,2,NO
dismissed,2,NO
unnecessary,2,YES
skilled,2,NO
customer,2,NO
complaint,2,NO
describe,2,NO
advantages,2,NO
predicted,2,NO
advantage,2,YES
accounts,2,NO
moreover,2,NO
imaginative,2,YES
temporary,2,YES
collect,2,YES
unnatural,2,NO
displayed,2,NO
relates,2,NO
textile,2,NO
automated,2,NO
declining,2,NO
replacing,2,NO
officially,2,NO
software,2,NO
acceleration,2,NO
illustrate,2,YES
atlantic,2,NO
permanent,2,YES
newcomers,2,NO
contributed,2,NO
recognize,2,NO
energetic,2,NO
permission,2,NO
attitudes,2,NO
legally,2,NO
responses,2,NO
milliseconds,2,NO
exclusive,2,YES
toronto,2,NO
viewing,2,NO
impulses,2,NO
subjects,2,NO
exposed,2,NO
musical,2,NO
influences,2,NO
gottman,2,NO
seconds,2,NO
historically,2,NO
assessment,2,YES
dec1s10ns,2,NO
explanation,2,YES
equality,2,NO
overwhelmingly,2,NO
considering,2,NO
frustration,2,NO
considers,2,NO
meritocratic,2,NO
promotion,2,NO
reflection,2,YES
reluctant,2,YES
balances,2,NO
earning,2,NO
council,2,YES
supermarkets,2,NO
threatening,2,NO
clearer,2,NO
sadness,2,NO
hospital,2,NO
charity,2,YES
participate,2,YES
develop,2,YES
deficiency,2,NO
stereotypes,2,NO
lottery,2,NO
fulfilment,2,NO
elizabeth,2,NO
rewarding,2,NO
counterintuitive,2,NO
fantasies,2,NO
visions,2,NO
exciting,2,YES
interesting,2,NO
memories,2,NO
connected,2,NO
commutes,2,NO
purchasing,2,NO
luxuries,2,NO
availability,2,NO
pleasure,2,NO
ambiguous,2,NO
popularity,2,YES
discusses,2,NO
pointed,2,NO
illusory,2,NO
superiority,2,YES
leadership,2,YES
nicholas,2,NO
altered,2,NO
apparent,2,YES
flattering,2,NO
profound,2,YES
viscerally,2,NO
enhancer,2,NO
paradise,2,YES
profiles,2,NO
wisconsin,2,NO
ineffective,2,NO
instinctively,2,NO
pursuits,2,NO
appetite,2,YES
argument,2,NO
scripted,2,NO
standardized,2,NO
creativity,2,NO
formula,2,YES
unexpected,2,YES
innovate,2,NO
structure,2,NO
accelerating,2,NO
involvement,2,NO
politically,2,NO
nevertheless,2,YES
osborne,2,NO
certainty,2,NO
developments,2,NO
coalition,2,NO
commitment,2,NO
pressing,2,NO
prepare,2,YES
release,2,YES
responsibilities,2,NO
sixties,2,NO
landscapes,2,NO
traditionally,2,NO
wiltshire,2,NO
avebury,2,NO
painting,2,NO
stretching,2,NO
scottish,2,NO
orientated,2,NO
outdoors,2,YES
illustrates,2,NO
reminds,2,NO
realistic,2,YES
acknowledging,2,NO
communicating,2,NO
interacting,2,NO
wortmann,2,NO
perceive,2,YES
pockets,2,NO
schroeder,2,NO
consequence,2,YES
damaske,2,NO
blurring,2,NO
division,2,NO
rewards,2,NO
infinite,2,YES
relaxation,2,NO
generated,2,NO
unrealistic,2,NO
childless,2,NO
nutrition,2,YES
adequately,2,NO
dropout,2,NO
economically,2,NO
recruit,2,YES
completed,2,NO
undergraduates,2,NO
narrowed,2,NO
resources,2,NO
insight,2,YES
offices,2,NO
spinning,2,NO
frequent,2,NO
journey,2,YES
vocabulary,2,YES
importation,2,NO
terminology,2,NO
organizations,2,NO
fulfillment,2,NO
prompting,2,NO
nonsense,2,NO
fundamentally,2,NO
overlooked,2,NO
explaining,2,NO
reference,2,YES
classified,2,NO
medicaid,2,NO
acquire,2,YES
trouble,2,NO
grateful,2,YES
furthermore,2,YES
harmful,2,YES
misunderstand,2,YES
surrounded,2,NO
possibilities,2,NO
mindset,2,NO
complaining,2,NO
familiar,2,YES
whichever,2,YES
concentrate,2,YES
volunteers,2,NO
investments,2,NO
publicly,2,NO
controlled,2,NO
emphasize,2,NO
simplify,2,YES
introductory,2,NO
assistant,2,YES
hypotheses,2,NO
transform,2,YES
programming,2,NO
schoolers,2,NO
curriculum,2,YES
languages,2,NO
relevant,2,YES
organize,2,YES
deborah,2,NO
technologies,2,NO
compete,2,YES
biologists,2,NO
formally,2,NO
environmentalists,2,NO
regulatory,2,NO
disturb,2,YES
compensate,2,YES
restoring,2,NO
rhetoric,2,NO
lininger,2,NO
listing,2,NO
acreage,2,NO
techniques,2,NO
immersive,2,NO
ritualistic,2,NO
providing,2,NO
dropping,2,NO
carrying,2,NO
generational,2,NO
strikingly,2,NO
prioritize,2,NO
defining,2,NO
priorities,2,NO
majorities,2,NO
achievements,2,NO
technician,2,YES
mortgage,2,NO
finance,2,NO
